rank,gid,role,priority_score,why
1,100000003684369100,distributor,0.9452,"distributor: Веер на 62 получателей (8.6 млн ₸; порог ≥10), входящих от 24 (seed: входящие занижены выгрузкой) | приоритет: близость к seed по потоку денег — 99%; сила роли — 80%"
2,100000006866783100,coordinator,0.9435,"coordinator: Связка сбор→раздача: получает от точки сбора, передаёт 7 распределителям; вход 13 (839 тыс ₸), выход 67; сам — распределитель | приоритет: близость к seed по потоку денег — 98%; сила роли — 80%"
3,100000003115284100,coordinator,0.9433,"coordinator: Получает от 2 точек сбора — второй уровень консолидации; вход 8 (2.2 млн ₸), выход 2; сам — сборщик | приоритет: близость к seed по потоку денег — 94%; сила роли — 90%"
4,100000004156082100,distributor,0.9263,"distributor: Веер на 26 получателей (2.3 млн ₸; порог ≥10), входящих от 5 | приоритет: близость к seed по потоку денег — 94%; сила роли — 80%"
5,100000008165763100,consolidator,0.9236,"consolidator: Сбор от 15 разных плательщиков (1.2 млн ₸; порог ≥5), раздаёт 17 получателям | приоритет: близость к seed по потоку денег — 93%; сила роли — 90%"
6,100000008547948100,distributor,0.9199,"distributor: Веер на 26 получателей (5.2 млн ₸; порог ≥10), входящих от 6 | приоритет: близость к seed по потоку денег — 91%; сила роли — 80%"
7,100000003016635100,coordinator,0.9197,"coordinator: Верхний 1% по посредничеству, связан с 1 ключевыми узлами; вход 8 (587 тыс ₸), выход 73; сам — распределитель | приоритет: близость к seed по потоку денег — 98%; объём денег — 100%"
8,100000000343175100,distributor,0.9169,"distributor: Веер на 31 получателей (4.0 млн ₸; порог ≥10), входящих от 8 (seed: входящие занижены выгрузкой) | приоритет: близость к seed по потоку денег — 99%; сила роли — 80%"
9,100000008477350100,coordinator,0.8928,"coordinator: Связка сбор→раздача: получает от точки сбора, передаёт 3 распределителям; вход 11 (610 тыс ₸), выход 39; сам — распределитель | приоритет: близость к seed по потоку денег — 89%; сила роли — 80%"
10,100000000331309100,coordinator,0.8914,"coordinator: Верхний 1% по посредничеству, связан с 1 ключевыми узлами; вход 5 (985 тыс ₸), выход 99; сам — распределитель | приоритет: близость к seed по потоку денег — 89%; объём денег — 100%"
11,100000008603629100,coordinator,0.8905,"coordinator: Связка сбор→раздача: получает от точки сбора, передаёт 5 распределителям; вход 19 (1.8 млн ₸), выход 61; сам — распределитель | приоритет: близость к seed по потоку денег — 81%; сила роли — 80%"
12,100000002527114100,distributor,0.8834,"distributor: Веер на 111 получателей (3.3 млн ₸; порог ≥10), входящих от 3 (seed: входящие занижены выгрузкой) | приоритет: близость к seed по потоку денег — 98%; сила роли — 80%"
13,100000000437046100,coordinator,0.8826,"coordinator: Связка сбор→раздача: получает от точки сбора, передаёт 3 распределителям; вход 9 (1.1 млн ₸), выход 42; сам — распределитель | приоритет: близость к seed по потоку денег — 78%; сила роли — 80%"
14,100000004015047100,consolidator,0.8716,"consolidator: Сбор от 9 разных плательщиков (919 тыс ₸; порог ≥5), отдаёт дальше 8% | приоритет: близость к seed по потоку денег — 99%; сила роли — 81%"
15,100000004400305100,coordinator,0.8712,"coordinator: Верхний 1% по посредничеству, связан с 7 ключевыми узлами; вход 7 (223 тыс ₸), выход 82; сам — распределитель | приоритет: близость к seed по потоку денег — 82%; объём денег — 100%"
16,100000008748408100,distributor,0.8586,"distributor: Веер на 21 получателей (1.5 млн ₸; порог ≥10), входящих от 1 | приоритет: близость к seed по потоку денег — 93%; сила роли — 80%"
17,100000002398779100,consolidator,0.8509,"consolidator: Сбор от 13 разных плательщиков (1.1 млн ₸; порог ≥5), отдаёт дальше 6% | приоритет: близость к seed по потоку денег — 81%; сила роли — 90%"
18,100000004135268100,transit,0.8423,transit: Отдаёт дальше 81% полученного (1.2 млн ₸ → 1.0 млн ₸); 85% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены) | приоритет: близость к seed по потоку денег — 99%; объём денег — 95%
19,100000008466579100,distributor,0.8384,"distributor: Веер на 17 получателей (1.9 млн ₸; порог ≥10), входящих от 2 | приоритет: близость к seed по потоку денег — 91%; объём денег — 97%"
