gid,role,role_score,cluster_id,priority_score,evidence,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,pass_through,seed_exposure,n_seed_up2,betweenness,fast_forward_share,fast_transit_share,same_day_transit_share_upper_bound,sync_in_days,sync_max_payers,transit_observation_complete_share,repeated_route_count,likely_true_terminal,terminal_unknown,transit_seed_caveat,depth,is_seed,truncated_by_depth
100000000011452100,transit,0.75,0,0.7034,Отдаёт дальше 15% полученного (110 тыс ₸ → 17 тыс ₸); 100% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены),3,1,110000.0,16685.0,7,2,0.0004768640252326482,0.1516818181818182,0.00011327853764837176,1,3.368496473580486e-06,1.0,0.12440909090909091,0.1516818181818182,0,1,1.0,2,False,False,False,1,False,False
100000000018102100,peripheral,0.3,0,0.1274,4-е колено: обход остановился здесь (исходящие не выгружались); получил 7 тыс ₸ от 1,1,0,7000.0,0.0,1,0,0.0003204029472448961,0.0,1.4637956348056027e-07,0,0.0,,0.0,0.0,0,1,1.0,0,False,True,False,4,False,True
100000000031787100,transit,0.75,10,0.6078,Отдаёт дальше 100% полученного (90 тыс ₸ → 90 тыс ₸),1,2,90000.0,90000.0,2,4,0.0004315356304853241,1.0,4.3876083354853115e-05,1,3.962937027741748e-07,0.4444444444444444,0.4444444444444444,0.4444444444444444,0,1,1.0,0,False,False,False,2,False,False
100000000041368100,peripheral,0.2,3,0.4521,"Разовый получатель: 160 тыс ₸ от 1, дальше не переводил",1,0,160000.0,0.0,1,0,0.0003176071236192344,0.0,0.00013490318025315395,2,0.0,,0.0,0.0,0,1,1.0,0,True,False,False,1,False,False
100000000076451100,peripheral,0.2,15,0.5128,"Признаков роли нет: вход 3 (88 тыс ₸), выход 4 (58 тыс ₸)",3,4,87707.0,58000.0,4,4,0.0013962008641423944,0.661292713238396,3.707334990082349e-05,1,9.76863977338341e-05,0.25862068965517243,0.05700799252055138,0.05700799252055138,0,2,0.5130719326849624,0,False,False,False,2,False,False
100000000089154100,distributor,0.75,0,0.6767,"Веер на 15 получателей (426 тыс ₸; порог ≥10), входящих от 1",1,15,10000.0,425500.0,1,21,0.0002874458184490932,42.55,1.2496663276870802e-05,1,0.00010895478461069696,0.27379553466509987,0.0,1.0,0,1,1.0,0,False,False,False,1,False,False
100000000190228100,peripheral,0.2,2,0.4708,"Признаков роли нет: вход 1 (5 тыс ₸), выход 1 (29 тыс ₸)",1,1,5000.0,28560.0,1,1,0.0005820068181865647,5.712,0.00042437297670131337,1,2.159800680119253e-05,0.0,0.0,0.0,0,1,0.0,0,False,False,False,2,False,False
100000000201868100,transit,1.0,54,0.6533,Отдаёт дальше 100% полученного (190 тыс ₸ → 190 тыс ₸); 100% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены),1,1,190000.0,190000.0,1,1,0.0009746432509228604,1.0,2.624012824285646e-05,1,0.0,1.0,1.0,1.0,0,1,1.0,0,False,False,False,2,False,False
100000000254336100,transit,0.75,0,0.5421,Отдаёт дальше 62% полученного (97 тыс ₸ → 60 тыс ₸); 100% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены),2,1,97177.0,60000.0,2,1,0.0002919351427687482,0.6174300503205491,1.2186590269079773e-06,0,1.922024458454748e-05,1.0,0.6174300503205491,0.6174300503205491,0,1,1.0,0,False,False,False,3,False,False
100000000267734100,peripheral,0.2,10,0.5845,"Признаков роли нет: вход 2 (180 тыс ₸), выход 7 (282 тыс ₸)",2,7,180000.0,282000.0,4,8,0.0005373190777888428,1.5666666666666667,0.0001616346358435276,1,3.5666433249675733e-06,0.4148936170212766,0.2222222222222222,0.2222222222222222,0,1,1.0,0,False,False,False,1,False,False
100000000274067100,transit,0.75,10,0.7773,Отдаёт дальше 573% полученного (518 тыс ₸ → 3.0 млн ₸); 69% исходящих по датам близки к поступлениям (0–2 дн.; суммы не сопоставлены),2,3,517704.0,2969000.0,9,9,0.0004137036512851875,5.734937338710924,0.0002927481635172293,1,1.1888811083225246e-06,0.6921522398113843,0.1062383137854836,0.4301763169687698,0,1,1.0,1,False,False,False,1,False,False
100000000287768100,peripheral,0.2,0,0.1977,"Разовый получатель: 35 тыс ₸ от 1, дальше не переводил",1,0,35168.0,0.0,1,0,0.0002886880716986401,0.0,2.3582323805884536e-07,0,0.0,,0.0,0.0,0,1,1.0,0,True,False,False,3,False,False
100000000288317100,peripheral,0.2,0,0.3949,"Признаков роли нет: вход 2 (100 тыс ₸), выход 3 (54 тыс ₸)",2,3,100000.0,53500.0,2,3,0.0003128334856204945,0.535,1.3149405821835448e-06,0,5.8255174307803695e-05,0.308411214953271,0.0,0.165,0,1,0.5,0,False,False,False,3,False,False
100000000291906100,transit,0.75,50,0.6749,Отдаёт дальше 117% полученного (388 тыс ₸ → 456 тыс ₸),2,2,388000.0,455854.0,3,6,0.0007629373053537487,1.1748814432989692,2.632213804349635e-05,1,7.806985944651244e-05,0.4186735226629579,0.020618556701030927,0.4339020618556701,0,1,1.0,0,False,False,False,2,False,False
100000000291908100,peripheral,0.2,50,0.4721,"Признаков роли нет: вход 1 (296 тыс ₸), выход 1 (13 тыс ₸)",1,1,295500.0,13300.0,5,1,0.0007065527083397005,0.045008460236886635,1.451431672230214e-05,0,1.981468513870874e-05,0.0,0.0,0.0,0,1,0.9661590524534687,0,False,False,False,3,False,False
100000000297649100,peripheral,0.2,12,0.3916,"Признаков роли нет: вход 1 (40 тыс ₸), выход 1 (71 тыс ₸)",1,1,40000.0,70600.0,1,2,0.0008091385858414708,1.765,2.4246031629379188e-05,1,0.0,0.0,0.0,0.0,0,1,1.0,0,False,False,False,2,False,False
100000000299820100,peripheral,0.3,6,0.1379,4-е колено: обход остановился здесь (исходящие не выгружались); получил 10 тыс ₸ от 1,1,0,10000.0,0.0,1,0,0.0004501620352243437,0.0,1.643608466894677e-07,0,0.0,,0.0,0.0,0,1,1.0,0,False,True,False,4,False,True
100000000307908100,peripheral,0.2,43,0.2774,"Разовый получатель: 5 тыс ₸ от 1, дальше не переводил",1,0,5000.0,0.0,1,0,0.0002964337747494595,0.0,3.409309999708779e-05,1,0.0,,0.0,0.0,0,1,1.0,0,True,False,False,2,False,False
